Date,Country,Status,AQI Value
2022-07-21,Algeria,Moderate,65
2022-07-21,Bangladesh,Unhealthy for Sensitive Groups,141
2022-07-21,Brunei,Good,15
2022-07-21,Cambodia,Good,15
2022-07-21,Denmark,Good,36
2022-07-21,Egypt,Moderate,86
2022-07-21,El Salvador,Moderate,80
2022-07-21,Finland,Good,25
2022-07-21,French Guiana,Good,13
2022-07-21,Georgia,Good,41
2022-07-21,Gibraltar,Good,34
2022-07-21,Grenada,Good,3
2022-07-21,Guadeloupe,Good,7
2022-07-21,Guam,Good,1
2022-07-21,India,Unhealthy,162
2022-07-21,Indonesia,Moderate,93
2022-07-21,Lebanon,Moderate,76
2022-07-21,Malaysia,Moderate,70
2022-07-21,Martinique,Good,25
2022-07-21,Nigeria,Unhealthy for Sensitive Groups,105
2022-07-21,Pakistan,Moderate,91
2022-07-21,Peru,Moderate,85
2022-07-21,Philippines,Moderate,83
2022-07-21,Qatar,Unhealthy,183
2022-07-21,San Marino,Good,50
2022-07-21,Saudi Arabia,Very Unhealthy,272
2022-07-21,Senegal,Good,33
2022-07-21,Serbia,Moderate,60
2022-07-21,South Africa,Moderate,83
2022-07-21,Spain,Moderate,82
2022-07-21,Sudan,Unhealthy for Sensitive Groups,114
2022-07-21,Turkmenistan,Moderate,85
2022-07-21,United Kingdom of Great Britain and Northern Ireland,Moderate,55
2022-07-21,Vatican,Moderate,70
2022-07-21,Algeria,Moderate,65
2022-07-21,Bangladesh,Unhealthy for Sensitive Groups,141
2022-07-21,Brunei,Good,15
2022-07-21,Cambodia,Good,15
2022-07-21,Denmark,Good,36
2022-07-21,Egypt,Moderate,86
2022-07-21,El Salvador,Moderate,80
2022-07-21,Finland,Good,25
2022-07-21,French Guiana,Good,13
2022-07-21,Georgia,Good,41
2022-07-21,Gibraltar,Good,34
2022-07-21,Grenada,Good,3
2022-07-21,Guadeloupe,Good,7
2022-07-21,Guam,Good,1
2022-07-21,India,Unhealthy,162
2022-07-21,Indonesia,Moderate,93
2022-07-21,Lebanon,Moderate,76
2022-07-21,Malaysia,Moderate,70
2022-07-21,Martinique,Good,25
2022-07-21,Nigeria,Unhealthy for Sensitive Groups,105
2022-07-21,Pakistan,Moderate,91
2022-07-21,Peru,Moderate,85
2022-07-21,Philippines,Moderate,83
2022-07-21,Qatar,Unhealthy,183
2022-07-21,San Marino,Good,50
2022-07-21,Saudi Arabia,Very Unhealthy,272
2022-07-21,Senegal,Good,33
2022-07-21,Serbia,Moderate,60
2022-07-21,South Africa,Moderate,83
2022-07-21,Spain,Moderate,82
2022-07-21,Sudan,Unhealthy for Sensitive Groups,114
2022-07-21,Turkmenistan,Moderate,85
2022-07-21,United Kingdom of Great Britain and Northern Ireland,Moderate,55
